                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                 2.2118,                 2.1332,                 1.5705,                0.54369,                0.25806,                0.29469,                0.10795,                 2.2196,                 2.4451,                 1.5745,               0.007954,               0.007954,               0.007954
                     65,                 2.1516,                 2.0151,                 1.5505,                0.51591,                0.30968,                0.34409,                0.12869,                 2.1867,                 2.3895,                 1.5592,               0.007921,               0.007921,               0.007921
                     66,                 2.1508,                 2.1144,                 1.5215,                0.51203,                0.31613,                0.31647,                0.10511,                 2.2737,                 2.6466,                 1.6159,               0.007888,               0.007888,               0.007888
                     67,                 2.1581,                 2.1294,                 1.5118,                0.55709,                0.36129,                0.35607,                0.12279,                 2.2669,                 2.5166,                 1.5771,               0.007855,               0.007855,               0.007855
                     68,                 2.1287,                 2.1157,                 1.5342,                0.41811,                0.31613,                0.29575,                0.09826,                 2.2459,                 2.6471,                 1.5743,               0.007822,               0.007822,               0.007822
                     69,                 2.1407,                 2.0935,                 1.5178,                 0.5239,                0.35484,                 0.3526,                 0.1159,                 2.1068,                 2.4876,                 1.5321,               0.007789,               0.007789,               0.007789
                     70,                 2.0971,                 2.0451,                 1.5442,                 0.4409,                0.32054,                 0.3076,                0.11429,                 2.1443,                  2.436,                  1.545,               0.007756,               0.007756,               0.007756
                     71,                 2.0472,                 2.0192,                  1.466,                0.51527,                0.31613,                 0.3242,                0.11314,                 2.2423,                 2.4634,                  1.569,               0.007723,               0.007723,               0.007723
                     72,                 2.1368,                 2.1115,                  1.479,                0.61858,                0.29677,                0.33661,                 0.1142,                 2.1565,                 2.4638,                 1.5334,                0.00769,                0.00769,                0.00769
                     73,                 2.0644,                 1.9946,                  1.467,                0.54321,                0.32258,                 0.3053,                0.12043,                  2.198,                 2.6379,                 1.5586,               0.007657,               0.007657,               0.007657
                     74,                 2.0473,                 1.9058,                 1.4652,                0.51685,                0.32903,                0.32744,                0.11462,                 2.2229,                 2.3761,                 1.5685,               0.007624,               0.007624,               0.007624
                     75,                  2.125,                 2.0803,                 1.4988,                0.61505,                0.31613,                0.36158,                0.13542,                 2.1039,                 2.4733,                 1.5255,               0.007591,               0.007591,               0.007591
